elapsed_ms,tps,lat_avg_ms,event
500,2500.000,3.216,
1000,2585.170,3.109,
1500,2580.000,3.124,
2000,2000.000,4.260,
2500,2324.649,3.681,
3000,1760.000,4.977,
3500,1640.000,5.366,
4000,1683.367,5.238,
4500,1740.000,5.011,
5000,1723.447,5.093,
5500,1703.407,5.141,
6000,1860.000,4.656,
6500,1883.768,4.574,
7000,1900.000,4.526,
7500,1923.848,4.521,
8000,1780.000,4.798,
8500,1880.000,4.691,
9000,2264.529,3.655,
9500,2040.000,4.196,
10000,1743.487,5.011,
10500,1903.808,4.579,
11000,1900.000,4.516,
11500,1860.000,4.624,
12000,1980.000,4.343,
12500,1823.647,4.714,
13000,1763.527,4.989,
13500,1920.000,4.521,
14000,1783.567,4.888,
14500,1282.565,6.875,
15000,320.000,30.125,
15500,320.641,31.438,
16000,300.000,31.933,
16500,320.641,31.812,
17000,300.601,31.600,
17500,300.601,32.133,
18000,320.000,31.750,
18500,300.601,31.867,
19000,300.000,32.267,
19500,320.000,31.562,
20000,220.441,31.818,
20500,140.281,86.714,
21000,180.361,57.778,
21500,160.000,57.250,
22000,180.361,57.556,
22500,160.000,58.750,
23000,180.361,57.333,
23500,160.321,58.000,
24000,180.000,58.556,
24500,160.000,57.875,
25000,180.361,58.000,
25500,160.321,57.500,
26000,180.000,56.333,
26500,180.361,56.556,
27000,160.000,58.125,
27500,240.481,43.917,
28000,300.601,33.400,
28500,1222.445,7.459,
29000,1482.966,6.054,
29500,1560.000,5.705,
30000,1680.000,5.202,
30500,1940.000,4.474,
31000,1763.527,5.000,
31500,1860.000,4.656,
32000,1840.000,4.739,
32500,1803.607,4.900,
33000,1740.000,4.989,
33500,1723.447,5.081,
34000,1643.287,5.390,
34500,1640.000,5.305,
35000,1680.000,5.238,
35500,1740.000,5.046,
36000,1683.367,5.250,
36500,1763.527,4.909,
37000,1860.000,4.634,
37500,1920.000,4.510,
38000,1783.567,4.888,
38500,1943.888,4.402,
39000,2004.008,4.280,
39500,2060.000,4.097,
40000,1680.000,5.262,
40500,1640.000,5.354,
41000,1643.287,5.305,
41500,1703.407,5.200,
42000,1380.000,6.362,
42500,340.681,29.647,
43000,300.000,31.800,
43500,300.601,32.133,
44000,300.601,32.600,
44500,300.000,32.800,
45000,300.601,32.267,
45500,300.000,32.133,
46000,260.000,37.385,
46500,180.361,57.556,
47000,160.321,58.875,
47500,180.000,56.333,
48000,160.000,57.375,
48500,180.361,57.778,
49000,180.361,57.111,
49500,160.000,58.500,
50000,160.000,58.625,
50500,180.361,58.444,
51000,160.321,57.625,
51500,180.000,57.667,
52000,180.361,58.111,
52500,160.000,56.625,
53000,180.361,56.222,
53500,240.000,40.500,
54000,440.882,23.364,
54500,1460.000,6.151,
55000,1462.926,6.123,
55500,1603.206,5.475,
56000,1580.000,5.544,
56500,1640.000,5.366,
57000,1823.647,4.791,
57500,1620.000,5.420,
58000,1763.527,4.920,
58500,1623.246,5.358,
59000,1783.567,4.910,
59500,1640.000,5.341,
60000,1660.000,5.265,
60500,1920.000,4.531,
61000,1763.527,4.909,
61500,1680.000,5.190,
62000,1683.367,5.250,
62500,2004.008,4.260,
63000,1780.000,4.843,
63500,1800.000,4.800,
64000,1880.000,4.596,
64500,2120.000,3.962,
65000,1823.647,4.813,
65500,2120.000,4.000,
66000,1823.647,4.758,
66500,1743.487,4.989,
67000,1720.000,5.035,
67500,1180.000,5.136,
68000,280.561,44.286,
68500,320.000,31.062,
69000,300.601,31.800,
69500,320.000,32.312,
70000,300.000,32.000,
70500,300.601,31.733,
71000,300.000,32.067,
71500,220.441,43.545,
72000,180.361,57.556,
72500,160.000,57.875,
73000,180.000,57.667,
73500,180.361,57.556,
74000,160.000,57.750,
74500,180.000,57.778,
75000,160.321,57.375,
75500,180.000,57.667,
76000,160.321,57.500,
76500,180.000,57.778,
77000,180.361,56.333,
77500,160.000,57.250,
78000,180.361,57.222,
78500,180.000,57.222,
79000,300.000,32.333,
79500,360.721,27.444,
80000,1563.126,5.718,
80500,1580.000,5.544,
81000,1783.567,4.955,
81500,2020.000,4.277,
82000,1663.327,5.217,
82500,1823.647,4.780,
83000,1823.647,4.769,
83500,2140.000,3.935,
84000,1900.000,4.600,
84500,1863.727,4.667,
85000,2084.168,4.048,
85500,1860.000,4.624,
86000,2120.000,4.028,
86500,1783.567,4.888,
87000,1940.000,4.381,
87500,1900.000,4.505,
88000,1663.327,5.337,
88500,1900.000,4.568,
89000,2164.329,3.935,
89500,1920.000,4.500,
90000,1920.000,4.427,
90500,1940.000,4.320,
91000,1040.000,9.096,
91500,1843.687,4.761,
92000,1860.000,4.688,
92500,1740.000,5.000,
93000,2164.329,3.907,
93500,2040.000,4.108,
94000,2080.000,4.096,
94500,541.082,17.815,
95000,300.000,31.333,
95500,300.601,32.267,
96000,320.000,31.750,
96500,300.000,32.533,
97000,300.601,32.533,
97500,300.000,32.133,
98000,280.561,33.357,
98500,180.361,58.111,
99000,160.000,59.250,
99500,160.321,59.125,
100000,180.000,58.111,
100500,160.000,58.250,
101000,180.361,58.000,
101500,160.321,58.625,
102000,180.000,58.889,
102500,160.000,58.250,
103000,180.361,58.000,
103500,160.000,57.500,
104000,180.361,58.000,
104500,160.321,58.250,
105000,180.000,58.000,
105500,160.321,57.000,
106000,220.000,48.182,
106500,300.601,33.200,
107000,1060.000,8.906,
107500,1422.846,6.352,
108000,1663.327,5.277,
108500,2080.000,4.058,
109000,2024.048,4.238,
109500,2200.000,3.864,
110000,1923.848,4.448,
110117,1452.991,3.941,
