elapsed_ms,tps,lat_avg_ms,event
500,3700.000,2.065,
1000,2640.000,3.091,
1500,3660.000,2.066,
2000,3587.174,2.140,
2500,3707.415,2.059,
3000,2780.000,2.935,
3500,2920.000,2.719,
4000,3106.212,2.490,
4500,2284.569,3.658,
5000,2640.000,3.106,
5500,2144.289,3.972,
6000,1743.487,5.057,
6500,2040.000,4.373,
7000,2020.000,4.317,
7500,1923.848,4.562,
8000,1883.768,4.755,
8500,1980.000,4.414,
9000,2320.000,3.672,
9500,2244.489,3.848,
10000,2364.729,3.627,
10500,2120.000,4.104,
11000,2144.289,4.000,
11500,2360.000,3.593,
12000,2765.531,2.978,
12500,2300.000,3.635,
13000,1923.848,4.604,
13500,2000.000,4.230,
14000,2024.048,4.238,
14500,2300.000,3.652,
15000,1840.000,4.750,
15500,1883.768,4.596,
16000,1980.000,4.384,
16500,2064.128,4.194,
17000,2120.000,4.123,
17500,360.000,26.889,
18000,300.000,31.267,
18500,320.000,31.812,
19000,300.601,32.067,
19500,300.601,31.467,
20000,320.641,31.938,
20500,300.601,32.000,
21000,300.000,32.267,
21500,300.601,32.400,
22000,320.000,31.750,
22500,300.601,31.733,
23000,120.000,85.333,
23500,160.321,57.875,
24000,180.000,57.222,
24500,160.321,57.625,
25000,180.000,58.556,
25500,160.000,57.250,
26000,180.361,57.889,
26500,160.321,58.500,
27000,180.361,57.667,
27500,160.000,58.125,
28000,180.361,57.444,
28500,180.000,57.222,
29000,180.361,55.889,
29500,160.000,58.125,
30000,200.401,51.500,
30500,280.000,33.571,
31000,940.000,10.596,
31500,1680.000,5.238,
32000,1663.327,5.349,
32500,2100.000,4.162,
33000,2200.000,3.973,
33500,2104.208,4.095,
34000,2160.000,4.037,
34500,1960.000,4.398,
35000,2300.000,3.791,
35500,1820.000,4.868,
36000,2180.000,3.890,
36500,1663.327,5.265,
37000,1883.768,4.734,
37500,1940.000,4.567,
38000,2020.000,4.277,
38500,1780.000,4.955,
39000,1803.607,4.889,
39500,1963.928,4.398,
40000,2080.000,4.067,
40500,2064.128,4.233,
41000,2080.000,4.125,
41500,2220.000,3.793,
42000,2420.000,3.463,
42500,1980.000,4.374,
43000,1780.000,4.843,
43500,1783.567,5.000,
44000,1700.000,5.259,
44500,2064.128,4.175,
45000,240.000,40.167,
45500,300.000,31.933,
46000,300.601,32.133,
46500,300.000,32.333,
47000,300.000,32.733,
47500,320.641,32.312,
48000,300.000,32.200,
48500,300.000,33.000,
49000,160.321,57.750,
49500,160.000,58.875,
50000,180.361,56.556,
50500,180.000,57.000,
51000,160.000,58.125,
51500,480.962,57.708,
52500,20.000,57.500,
53000,160.321,59.000,
53500,180.361,57.889,
54000,160.000,58.000,
54500,180.361,57.889,
55000,180.361,57.333,
55500,160.000,55.625,
56000,220.441,47.545,
56500,300.000,32.933,
57000,1242.485,7.516,
57500,1500.000,6.000,
58000,1643.287,5.366,
58500,1703.407,5.165,
59000,1743.487,5.126,
59500,1820.000,4.923,
60000,1783.567,4.876,
60500,2004.008,4.310,
61000,2000.000,4.400,
61500,1880.000,4.681,
62000,1900.000,4.484,
62500,1803.607,4.967,
63000,1980.000,4.384,
63500,2060.000,4.117,
64000,1720.000,5.081,
64500,1960.000,4.439,
65000,2264.529,3.690,
65500,1860.000,4.720,
66000,2104.208,4.019,
66500,2100.000,4.029,
67000,2420.000,3.488,
67500,2084.168,4.106,
68000,2140.000,3.935,
68500,2280.000,3.728,
69000,1983.968,4.394,
69500,1900.000,4.526,
70000,1803.607,4.822,
70500,360.000,27.111,
71000,300.601,31.333,
71500,320.641,31.562,
72000,300.601,32.067,
72500,300.000,32.533,
73000,300.601,31.667,
73500,320.000,31.938,
74000,260.521,37.692,
74500,160.321,57.000,
75000,180.000,57.889,
75500,160.000,57.875,
76000,180.361,58.000,
76500,180.361,57.556,
77000,160.000,57.500,
77500,180.361,57.667,
78000,160.000,57.375,
78500,180.361,57.444,
79000,160.000,57.625,
79500,180.361,56.889,
80000,180.361,57.000,
80500,160.000,57.625,
81000,180.361,56.889,
81500,260.000,38.231,
82000,300.601,32.933,
82500,1282.565,7.406,
83000,1740.000,5.103,
83500,1800.000,4.844,
84000,2060.000,4.126,
84500,2124.248,4.066,
85000,1803.607,4.878,
85500,1980.000,4.384,
86000,2304.609,3.661,
86500,2200.000,3.855,
87000,2164.329,3.889,
87500,2060.000,4.214,
88000,2064.128,4.136,
88500,2360.000,3.517,
89000,2060.000,4.146,
89500,2024.048,4.257,
90000,2204.409,3.891,
90500,1943.888,4.433,
91000,2140.000,4.056,
91500,2204.409,3.827,
92000,2080.000,4.000,
92500,2204.409,3.864,
93000,2020.000,4.287,
93500,1082.164,8.500,
94000,1940.000,4.454,
94500,1980.000,4.303,
95000,1900.000,4.589,
95500,2244.489,3.848,
96000,2380.000,3.454,
96500,2180.000,3.899,
97000,1240.000,7.016,
97500,320.641,31.062,
98000,300.000,32.267,
98500,320.641,31.812,
99000,300.000,32.400,
99500,300.601,32.533,
100000,300.000,32.400,
100500,300.601,32.600,
101000,200.000,49.000,
101500,160.321,58.750,
102000,160.000,59.125,
102500,180.361,58.222,
103000,160.000,58.250,
103500,180.000,58.222,
104000,160.000,57.750,
104500,180.361,59.222,
105000,160.000,58.250,
105500,180.361,58.000,
106000,160.000,57.750,
106500,180.361,57.556,
107000,160.321,58.375,
107500,180.000,57.556,
108000,160.321,58.000,
108500,180.000,57.667,
109000,300.601,33.800,
109500,761.523,12.684,
110000,1460.000,6.219,
110500,1703.407,5.188,
111000,2360.000,3.551,
111500,2124.248,4.047,
112000,2184.369,3.826,
112500,2160.000,3.981,
112842,2046.784,3.514,
