elapsed_ms,tps,lat_avg_ms,event
500,1200.000,7.550,
1000,1422.846,6.380,
1500,1320.000,6.848,
2000,1360.000,6.676,
2500,1362.725,6.706,
3000,1222.445,7.410,
3500,1200.000,7.733,
4000,1220.000,7.475,
4500,1200.000,7.567,
5000,1302.605,7.015,
5500,1140.000,8.140,
6000,1220.000,7.443,
6500,1222.445,7.623,
7000,1320.000,6.970,
7500,1222.445,7.443,
8000,1500.000,6.067,
8500,1282.565,7.109,
9000,1280.000,7.141,
9500,1180.000,7.847,
10000,1202.405,7.633,
10500,1200.000,7.667,
11000,1160.000,7.879,
11500,1062.124,8.887,
12000,1120.000,8.161,
12500,480.962,20.292,
13000,280.000,34.429,
13500,260.000,35.615,
14000,280.561,35.071,
14500,280.000,34.857,
15000,280.561,34.714,
15500,160.000,59.375,
16000,180.361,60.889,
16500,160.321,60.625,
17000,160.000,60.125,
17500,160.321,60.625,
18000,160.000,60.375,
18500,160.321,60.375,
19000,180.361,60.222,
19500,160.000,59.875,
20000,160.000,60.625,
20500,160.321,60.000,
21000,160.000,60.750,
21500,180.000,60.444,
22000,160.321,61.250,
22500,160.000,59.750,
23000,160.000,61.125,
23500,200.401,48.400,
24000,280.000,36.143,
24500,280.000,35.071,
25000,640.000,15.250,
25500,801.603,11.425,
26000,1082.164,8.741,
26500,1280.000,7.016,
27000,1362.725,6.721,
27500,1240.000,7.419,
28000,1222.445,7.328,
28500,1260.000,7.349,
29000,1302.605,6.938,
29500,1320.000,6.955,
30000,1322.645,6.848,
30500,1442.886,6.306,
31000,1380.000,6.522,
31500,1320.000,6.848,
32000,1302.605,7.000,
32500,1422.846,6.324,
33000,1360.000,6.544,
33500,1362.725,6.676,
34000,1262.525,7.317,
34500,1342.685,6.791,
35000,1302.605,6.877,
35500,1340.000,6.821,
36000,1260.000,7.254,
36500,1282.565,7.094,
37000,1360.000,6.588,
37500,1140.000,7.754,
38000,300.000,31.600,
38500,300.601,33.333,
39000,280.561,34.071,
39500,300.000,34.733,
40000,280.561,34.857,
40500,280.561,35.000,
41000,280.000,34.571,
41500,220.441,41.182,
42000,180.361,59.556,
42500,160.321,60.500,
43000,160.321,60.375,
43500,160.000,60.750,
44000,160.321,60.000,
44500,160.000,60.500,
45000,160.321,60.625,
45500,200.401,54.400,
46000,160.321,58.750,
46500,160.000,60.375,
47000,160.321,60.375,
47500,180.361,59.778,
48000,160.000,60.375,
48500,160.321,61.125,
49000,160.000,59.500,
49500,160.000,60.750,
50000,180.000,60.000,
50500,280.000,34.500,
51000,300.601,33.200,
51500,300.601,32.400,
52000,1000.000,9.320,
52500,1240.000,7.371,
53000,761.523,12.526,
53500,1422.846,6.352,
54000,1242.485,7.355,
54500,1340.000,6.642,
55000,1560.000,5.782,
55500,1362.725,6.603,
56000,1220.000,7.344,
56500,1162.325,7.862,
57000,1462.926,6.260,
57500,1400.000,6.457,
58000,1440.000,6.236,
58500,1282.565,7.219,
59000,1422.846,6.296,
59500,1402.806,6.429,
60000,1360.000,6.809,
60500,1260.000,7.222,
61000,1322.645,6.939,
61500,1222.445,7.361,
62000,1202.405,7.733,
62500,1300.000,7.062,
63000,1300.000,6.954,
63500,1382.766,6.478,
64000,1503.006,5.987,
64500,460.922,20.043,
65000,300.000,33.800,
65500,280.561,34.071,
66000,280.000,34.929,
66500,280.561,34.000,
67000,280.000,35.429,
67500,160.321,59.375,
68000,160.000,60.375,
68500,180.000,59.778,
69000,160.321,60.250,
69500,160.000,60.125,
70000,160.321,60.000,
70500,180.361,60.111,
71000,160.000,60.375,
71500,160.321,59.750,
72000,160.000,60.000,
72500,160.000,59.375,
73000,180.361,59.667,
73500,160.321,60.000,
74000,160.000,61.625,
74500,160.000,60.250,
75000,160.000,60.250,
75500,180.361,59.778,
76000,220.441,43.818,
76500,300.000,32.933,
77000,280.561,33.929,
77500,601.202,16.367,
78000,920.000,10.283,
78500,1162.325,7.914,
79000,1420.000,6.296,
79500,1282.565,7.000,
80000,1402.806,6.557,
80500,1523.046,6.013,
81000,1420.000,6.366,
81500,1440.000,6.333,
82000,1563.126,5.679,
82500,1540.000,5.779,
83000,1520.000,5.921,
83500,1660.000,5.289,
84000,1723.447,5.174,
84500,1480.000,6.122,
85000,1540.000,5.870,
85500,1523.046,5.803,
86000,1583.166,5.646,
86500,1660.000,5.337,
87000,1603.206,5.588,
87500,1460.000,6.137,
88000,1563.126,5.731,
88500,1500.000,6.000,
89000,1400.000,6.443,
89500,1523.046,5.895,
90000,1020.000,6.941,
90500,240.481,48.833,
91000,300.601,33.933,
91500,280.000,34.429,
92000,280.561,34.357,
92500,280.000,34.643,
93000,240.481,39.000,
93500,160.000,60.000,
94000,180.361,60.222,
94500,160.000,60.250,
95000,160.321,60.750,
95500,160.321,60.750,
96000,160.000,60.250,
96500,160.000,61.000,
97000,180.000,60.222,
97500,160.321,59.375,
98000,160.000,60.250,
98500,160.321,60.375,
99000,180.361,59.667,
99500,160.000,59.750,
100000,160.000,60.375,
100500,160.000,60.125,
101000,160.321,59.375,
101500,260.521,42.385,
102000,260.000,35.231,
102500,300.000,34.667,
103000,280.561,34.500,
103500,681.363,13.912,
104000,1040.000,8.981,
104500,1080.000,8.537,
105000,1040.000,8.808,
105500,1102.204,8.345,
106000,1282.565,7.078,
106500,1220.000,7.459,
106816,1518.987,5.562,
