elapsed_ms,tps,lat_avg_ms,event
500,1660.000,5.181,
1000,1803.607,4.589,
1500,1783.567,4.787,
2000,1720.000,4.988,
2500,1400.000,6.314,
3000,1422.846,6.239,
3500,1462.926,6.041,
4000,1262.525,7.111,
4500,1242.485,7.323,
5000,1280.000,7.016,
5500,1162.325,7.776,
6000,1260.000,7.222,
6500,1222.445,7.361,
7000,1140.000,7.965,
7500,1120.000,8.018,
8000,1162.325,7.862,
8500,1162.325,7.672,
9000,1080.000,8.463,
9500,1142.285,8.035,
10000,1142.285,7.947,
10500,1160.000,7.776,
11000,1180.000,7.644,
11500,1282.565,6.984,
12000,1220.000,7.295,
12500,1180.000,7.678,
13000,1082.164,8.463,
13500,1160.000,7.879,
14000,1122.244,8.161,
14500,1102.204,8.200,
15000,1020.000,8.882,
15500,1022.044,9.176,
16000,780.000,11.897,
16500,280.561,33.571,
17000,280.561,35.071,
17500,280.000,35.500,
18000,280.000,34.857,
18500,280.561,34.429,
19000,180.000,51.333,
19500,160.321,61.250,
20000,180.000,60.000,
20500,160.000,60.375,
21000,160.321,60.250,
21500,160.000,60.375,
22000,160.000,60.750,
22500,160.000,59.750,
23000,180.361,60.333,
23500,160.321,60.250,
24000,160.000,60.125,
24500,160.321,61.000,
25000,160.000,60.250,
25500,160.000,60.500,
26000,180.361,60.222,
26500,160.000,61.125,
27000,180.361,54.667,
27500,280.000,35.857,
28000,260.000,35.692,
28500,501.002,20.160,
29000,800.000,11.475,
29500,981.964,9.449,
30000,1182.365,7.712,
30500,1220.000,7.377,
31000,1160.000,7.793,
31500,1122.244,8.089,
32000,1202.405,7.550,
32500,1200.000,7.550,
33000,1220.000,7.377,
33500,1162.325,7.862,
34000,1260.000,7.079,
34500,1222.445,7.377,
35000,1282.565,7.047,
35500,1222.445,7.410,
36000,1260.000,7.032,
36500,1302.605,6.954,
37000,1340.000,6.627,
37500,1162.325,7.793,
38000,1242.485,7.210,
38500,1222.445,7.393,
39000,1180.000,7.644,
39500,1220.000,7.262,
40000,1182.365,7.797,
40500,1280.000,7.000,
41000,1242.485,7.323,
41500,200.000,46.700,
42000,300.000,33.267,
42500,280.561,33.857,
43000,280.000,34.714,
43500,300.601,34.467,
44000,260.000,34.923,
44500,300.601,34.933,
45000,260.521,37.231,
45500,160.000,59.375,
46000,160.321,60.500,
46500,160.000,60.625,
47000,160.321,60.750,
47500,180.000,59.889,
48000,160.000,60.375,
48500,160.321,60.500,
49000,180.361,56.556,
49500,160.000,55.500,
50000,180.361,60.333,
50500,160.321,60.375,
51000,160.000,59.750,
51500,160.321,60.000,
52000,160.000,60.875,
52500,180.361,59.556,
53000,160.321,60.750,
53500,160.000,60.000,
54000,260.521,38.923,
54500,280.000,33.786,
55000,300.601,32.467,
55500,760.000,12.947,
56000,1182.365,7.627,
56500,1300.000,6.938,
57000,1260.000,7.032,
57500,1182.365,7.593,
58000,1182.365,7.542,
58500,1342.685,6.776,
59000,1280.000,6.969,
59500,1182.365,7.576,
60000,1100.000,8.382,
60500,1280.000,7.062,
61000,1302.605,6.846,
61500,1282.565,6.938,
62000,1260.000,7.190,
62500,1302.605,6.938,
63000,1400.000,6.314,
63500,1262.525,7.127,
64000,1200.000,7.567,
64500,1202.405,7.467,
65000,1180.000,7.678,
65500,1120.000,8.161,
66000,1182.365,7.593,
66500,1182.365,7.661,
67000,1300.000,6.877,
67500,1300.000,6.923,
68000,701.403,13.286,
68500,280.000,33.357,
69000,300.601,34.067,
69500,280.000,34.643,
70000,280.000,33.714,
70500,300.601,34.200,
71000,160.321,55.250,
71500,180.000,59.889,
72000,160.321,59.625,
72500,160.000,60.375,
73000,160.000,59.750,
73500,160.321,59.875,
74000,180.000,60.000,
74500,160.321,60.250,
75000,160.321,60.125,
75500,160.000,59.875,
76000,180.000,59.778,
76500,160.321,59.500,
77000,160.000,60.000,
77500,160.321,61.000,
78000,160.000,61.250,
78500,180.361,60.333,
79000,160.000,59.375,
79500,180.361,54.778,
80000,320.000,31.312,
80500,280.561,33.714,
81000,400.802,24.950,
81500,920.000,9.978,
82000,1062.124,8.717,
82500,1260.000,7.048,
83000,1202.405,7.533,
83500,1280.000,6.953,
84000,1322.645,6.788,
84500,1282.565,6.922,
85000,1240.000,7.129,
85500,1422.846,6.225,
86000,1340.000,6.522,
86500,1300.000,6.800,
87000,1543.086,5.662,
87500,1520.000,5.684,
88000,1400.000,6.271,
88500,1362.725,6.618,
89000,1400.000,6.243,
89500,1362.725,6.515,
90000,1420.000,6.211,
90500,1422.846,6.197,
91000,1362.725,6.544,
91500,1340.000,6.627,
92000,1320.000,6.742,
92500,1242.485,7.323,
93000,1320.000,6.788,
93500,1300.000,6.785,
94000,340.000,28.412,
94500,280.000,33.643,
95000,300.601,34.333,
95500,280.000,34.500,
96000,280.000,34.571,
96500,260.000,34.846,
97000,180.000,59.556,
97500,160.321,60.125,
98000,160.321,59.750,
98500,160.000,60.000,
99000,160.000,61.375,
99500,160.321,60.375,
100000,180.000,60.556,
100500,160.000,60.625,
101000,160.321,59.375,
101500,160.000,59.500,
102000,160.321,60.375,
102500,180.000,59.667,
103000,160.000,59.500,
103500,160.321,60.250,
104000,160.000,59.875,
104500,180.361,59.556,
105000,100.200,60.000,
105500,260.000,52.385,
106000,280.561,34.929,
106500,280.561,34.571,
107000,480.962,20.583,
107500,1042.084,8.731,
108000,1020.000,8.941,
108500,1082.164,8.537,
109000,1002.004,9.080,
109500,1242.485,7.306,
110000,1160.000,7.845,
110459,1285.403,6.576,
