system,size,experiment,filename,throughput,avg_latency,p50,p95,p99,conflict
cabinet,3,batch_1,merged_cabinet_clients_20260806_213047.csv,691.1,4.224,4.2,5.3,6.2,2234.0
cabinet,3,batch_10,merged_cabinet_clients_20260806_213154.csv,5912.7,4.912,5.0,6.5,7.6,19720.0
cabinet,3,batch_100,merged_cabinet_clients_20260806_213405.csv,56674.1,4.725,4.7,6.0,7.3,183900.0
cabinet,3,batch_1000,merged_cabinet_clients_20260806_213616.csv,201466.5,10.663,10.5,14.9,16.5,667000.0
cabinet,3,batch_2000,merged_cabinet_clients_20260806_213722.csv,263480.2,14.533,14.2,19.9,22.0,884000.0
cabinet,3,batch_50,merged_cabinet_clients_20260806_213259.csv,31148.4,4.454,4.4,5.6,6.7,105600.0
cabinet,3,batch_500,merged_cabinet_clients_20260806_213511.csv,167183.1,6.753,6.3,9.1,12.2,539000.0
cabinet,5,batch_1,merged_cabinet_clients_20260806_213831.csv,768.4,3.795,3.8,5.0,5.8,2584.0
cabinet,5,batch_10,merged_cabinet_clients_20260806_213938.csv,7382.0,3.887,3.8,5.7,6.8,24940.0
cabinet,5,batch_100,merged_cabinet_clients_20260806_214153.csv,62202.1,4.288,4.2,5.8,7.0,203200.0
cabinet,5,batch_1000,merged_cabinet_clients_20260806_214408.csv,202977.5,10.62,10.5,15.0,16.9,635000.0
cabinet,5,batch_2000,merged_cabinet_clients_20260806_214515.csv,265786.2,14.251,14.0,19.9,22.0,940000.0
cabinet,5,batch_50,merged_cabinet_clients_20260806_214046.csv,32897.9,4.177,4.2,5.6,6.7,110150.0
cabinet,5,batch_500,merged_cabinet_clients_20260806_214301.csv,169250.7,6.737,6.4,9.6,13.4,541500.0
cabinet,7,batch_1,merged_cabinet_clients_20260806_214626.csv,813.5,3.574,3.5,4.8,5.7,2719.0
cabinet,7,batch_10,merged_cabinet_clients_20260806_214735.csv,7796.6,3.678,3.6,5.5,6.5,26250.0
cabinet,7,batch_100,merged_cabinet_clients_20260806_214955.csv,65925.2,4.004,3.9,5.4,7.0,215400.0
cabinet,7,batch_1000,merged_cabinet_clients_20260806_215213.csv,229816.5,8.773,8.4,12.3,15.2,758000.0
cabinet,7,batch_2000,merged_cabinet_clients_20260806_215322.csv,260709.6,14.5,14.1,20.2,22.8,874000.0
cabinet,7,batch_50,merged_cabinet_clients_20260806_214845.csv,36510.6,3.752,3.7,5.1,6.3,121250.0
cabinet,7,batch_500,merged_cabinet_clients_20260806_215104.csv,175711.9,6.387,5.9,8.9,12.6,564000.0
