system,size,experiment,filename,throughput,avg_latency,p50,p95,p99,conflict
cabinet,3,batch_1,merged_cabinet_servers_20260806_213047.csv,658.8,1.39,1.4,1.8,2.0,2234.0
cabinet,3,batch_10,merged_cabinet_servers_20260806_213154.csv,5637.6,1.641,1.7,2.3,2.5,19720.0
cabinet,3,batch_100,merged_cabinet_servers_20260806_213405.csv,54017.7,1.622,1.6,2.1,2.4,183900.0
cabinet,3,batch_1000,merged_cabinet_servers_20260806_213616.csv,192143.3,4.071,3.8,6.8,8.0,667000.0
cabinet,3,batch_2000,merged_cabinet_servers_20260806_213722.csv,251052.4,5.649,5.2,8.6,10.2,884000.0
cabinet,3,batch_50,merged_cabinet_servers_20260806_213259.csv,29747.5,1.489,1.5,2.0,2.2,105600.0
cabinet,3,batch_500,merged_cabinet_servers_20260806_213511.csv,159727.7,2.457,2.4,3.3,4.2,539000.0
cabinet,5,batch_1,merged_cabinet_servers_20260806_213831.csv,732.4,1.229,1.2,1.7,1.9,2584.0
cabinet,5,batch_10,merged_cabinet_servers_20260806_213939.csv,7087.0,1.211,1.1,2.0,2.3,24940.0
cabinet,5,batch_100,merged_cabinet_servers_20260806_214153.csv,59894.4,1.388,1.4,1.9,2.2,203200.0
cabinet,5,batch_1000,merged_cabinet_servers_20260806_214408.csv,195348.4,4.025,3.8,6.7,8.0,635000.0
cabinet,5,batch_2000,merged_cabinet_servers_20260806_214515.csv,255855.7,5.592,5.2,8.5,10.1,940000.0
cabinet,5,batch_50,merged_cabinet_servers_20260806_214046.csv,31658.9,1.356,1.4,1.9,2.1,110150.0
cabinet,5,batch_500,merged_cabinet_servers_20260806_214301.csv,162727.4,2.417,2.3,3.3,4.8,541500.0
cabinet,7,batch_1,merged_cabinet_servers_20260806_214626.csv,779.8,1.128,1.1,1.7,1.9,2719.0
cabinet,7,batch_10,merged_cabinet_servers_20260806_214735.csv,7488.5,1.151,1.1,1.9,2.3,26250.0
cabinet,7,batch_100,merged_cabinet_servers_20260806_214955.csv,63401.5,1.319,1.3,1.9,2.2,215400.0
cabinet,7,batch_1000,merged_cabinet_servers_20260806_215213.csv,220316.0,3.492,3.4,4.5,5.7,758000.0
cabinet,7,batch_2000,merged_cabinet_servers_20260806_215322.csv,249826.4,5.979,5.7,8.6,10.6,874000.0
cabinet,7,batch_50,merged_cabinet_servers_20260806_214845.csv,35001.5,1.189,1.2,1.7,2.0,121250.0
cabinet,7,batch_500,merged_cabinet_servers_20260806_215104.csv,169118.7,2.267,2.1,3.1,3.8,564000.0
