system,size,experiment,filename,throughput,avg_latency,p50,p95,p99,conflict
raft,3,batch_1,merged_cabinet_clients_20260806_220654.csv,591.2,4.868,4.9,6.1,7.5,1956.0
raft,3,batch_10,merged_cabinet_clients_20260806_220759.csv,5552.0,5.149,5.2,7.0,8.4,18670.0
raft,3,batch_100,merged_cabinet_clients_20260806_221014.csv,50841.1,5.227,5.2,6.6,7.8,168300.0
raft,3,batch_1000,merged_cabinet_clients_20260806_221225.csv,213725.1,9.588,9.0,13.3,17.8,671000.0
raft,3,batch_2000,merged_cabinet_clients_20260806_221330.csv,254709.3,14.813,14.5,20.0,22.4,762000.0
raft,3,batch_50,merged_cabinet_clients_20260806_220909.csv,27441.8,5.022,5.0,6.3,7.5,90750.0
raft,3,batch_500,merged_cabinet_clients_20260806_221120.csv,156009.8,7.099,6.8,9.7,12.5,510500.0
raft,5,batch_1,merged_cabinet_clients_20260806_221438.csv,431.3,6.733,6.7,9.0,11.0,1381.0
raft,5,batch_10,merged_cabinet_clients_20260806_221546.csv,4406.7,6.545,6.4,9.0,10.9,14510.0
raft,5,batch_100,merged_cabinet_clients_20260806_221802.csv,41573.9,6.55,6.4,8.9,10.5,143900.0
raft,5,batch_1000,merged_cabinet_clients_20260806_222016.csv,165182.2,13.385,13.3,17.4,19.5,516000.0
raft,5,batch_2000,merged_cabinet_clients_20260806_222124.csv,221011.9,18.348,17.7,23.6,26.5,710000.0
raft,5,batch_50,merged_cabinet_clients_20260806_221654.csv,23591.6,5.904,5.8,8.1,9.5,78900.0
raft,5,batch_500,merged_cabinet_clients_20260806_221909.csv,113593.1,10.865,10.5,14.3,15.9,386500.0
raft,7,batch_1,merged_cabinet_clients_20260806_222234.csv,391.8,7.435,7.4,10.1,11.9,1268.0
raft,7,batch_10,merged_cabinet_clients_20260806_222344.csv,3945.2,7.345,7.2,10.2,12.1,13960.0
raft,7,batch_100,merged_cabinet_clients_20260806_222603.csv,34328.0,8.032,7.8,11.6,12.9,104700.0
raft,7,batch_1000,merged_cabinet_clients_20260806_222821.csv,157053.0,14.417,14.1,18.2,20.1,512000.0
raft,7,batch_2000,merged_cabinet_clients_20260806_222931.csv,212671.3,19.278,18.6,24.3,27.1,704000.0
raft,7,batch_50,merged_cabinet_clients_20260806_222453.csv,17883.5,7.96,7.7,11.6,12.8,56400.0
raft,7,batch_500,merged_cabinet_clients_20260806_222712.csv,109167.3,11.274,11.1,14.9,16.5,359000.0
raft,11,batch_1,merged_cabinet_clients_20260806_223045.csv,336.2,8.697,8.4,12.5,13.9,1125.0
raft,11,batch_10,merged_cabinet_clients_20260806_223157.csv,3582.7,8.082,7.7,11.8,13.2,12350.0
raft,11,batch_100,merged_cabinet_clients_20260806_223424.csv,30373.3,8.971,8.7,12.8,14.2,98700.0
raft,11,batch_1000,merged_cabinet_clients_20260806_223650.csv,156902.9,14.744,14.5,19.4,22.1,528000.0
raft,11,batch_2000,merged_cabinet_clients_20260806_223803.csv,205335.4,20.744,19.8,26.8,29.8,712000.0
raft,11,batch_50,merged_cabinet_clients_20260806_223310.csv,15995.1,8.914,8.6,12.8,14.1,54150.0
raft,11,batch_500,merged_cabinet_clients_20260806_223537.csv,106450.5,11.853,11.6,15.9,17.6,375500.0
