system,size,experiment,filename,throughput,avg_latency,p50,p95,p99,conflict
raft,3,batch_1,merged_cabinet_servers_20260806_220654.csv,566.2,1.66,1.7,2.2,2.5,1956.0
raft,3,batch_10,merged_cabinet_servers_20260806_220759.csv,5340.0,1.739,1.7,2.5,2.9,18670.0
raft,3,batch_100,merged_cabinet_servers_20260806_221014.csv,48657.8,1.863,1.9,2.4,2.8,168300.0
raft,3,batch_1000,merged_cabinet_servers_20260806_221225.csv,205549.2,3.941,3.8,5.1,7.1,671000.0
raft,3,batch_2000,merged_cabinet_servers_20260806_221330.csv,244892.5,5.86,5.4,9.1,10.6,762000.0
raft,3,batch_50,merged_cabinet_servers_20260806_220909.csv,26284.0,1.758,1.8,2.3,2.6,90750.0
raft,3,batch_500,merged_cabinet_servers_20260806_221120.csv,150048.8,2.691,2.6,3.5,4.6,510500.0
raft,5,batch_1,merged_cabinet_servers_20260806_221438.csv,414.6,2.327,2.3,3.2,4.6,1381.0
raft,5,batch_10,merged_cabinet_servers_20260806_221546.csv,4225.2,2.26,2.2,3.2,4.8,14510.0
raft,5,batch_100,merged_cabinet_servers_20260806_221802.csv,39821.2,2.381,2.3,3.4,4.4,143900.0
raft,5,batch_1000,merged_cabinet_servers_20260806_222016.csv,157773.1,5.938,5.8,8.4,10.0,516000.0
raft,5,batch_2000,merged_cabinet_servers_20260806_222124.csv,211605.7,8.738,8.3,11.5,12.7,710000.0
raft,5,batch_50,merged_cabinet_servers_20260806_221654.csv,22581.8,2.079,2.0,3.0,3.7,78900.0
raft,5,batch_500,merged_cabinet_servers_20260806_221909.csv,108878.9,4.281,4.0,6.6,7.9,386500.0
raft,7,batch_1,merged_cabinet_servers_20260806_222234.csv,375.5,2.567,2.5,3.4,5.4,1268.0
raft,7,batch_10,merged_cabinet_servers_20260806_222344.csv,3781.0,2.55,2.5,3.5,5.4,13960.0
raft,7,batch_100,merged_cabinet_servers_20260806_222603.csv,32893.8,2.913,2.8,4.6,6.1,104700.0
raft,7,batch_1000,merged_cabinet_servers_20260806_222821.csv,150416.9,6.35,6.2,8.6,10.2,512000.0
raft,7,batch_2000,merged_cabinet_servers_20260806_222931.csv,203225.4,9.17,8.9,11.8,13.0,704000.0
raft,7,batch_50,merged_cabinet_servers_20260806_222453.csv,17200.5,2.8,2.6,4.7,6.1,56400.0
raft,7,batch_500,merged_cabinet_servers_20260806_222712.csv,104524.6,4.568,4.3,6.8,8.2,359000.0
raft,11,batch_1,merged_cabinet_servers_20260806_223045.csv,321.8,2.981,2.8,4.9,6.6,1125.0
raft,11,batch_10,merged_cabinet_servers_20260806_223157.csv,3438.3,2.785,2.6,4.7,6.4,12350.0
raft,11,batch_100,merged_cabinet_servers_20260806_223424.csv,29073.5,3.251,3.0,5.5,6.7,98700.0
raft,11,batch_1000,merged_cabinet_servers_20260806_223650.csv,150954.6,6.315,6.0,9.0,10.4,528000.0
raft,11,batch_2000,merged_cabinet_servers_20260806_223803.csv,197664.3,9.563,9.1,12.2,13.8,712000.0
raft,11,batch_50,merged_cabinet_servers_20260806_223310.csv,15368.7,3.11,2.9,5.5,6.7,54150.0
raft,11,batch_500,merged_cabinet_servers_20260806_223537.csv,102350.8,4.682,4.4,7.1,8.5,375500.0
