elapsed_ms,tps,lat_avg_ms,event
500,9600.000,9.292,
1000,9018.036,9.844,
1500,9418.838,9.745,stable
2000,10220.441,8.863,
2500,9600.000,9.312,
3000,9600.000,9.500,
3500,9418.838,9.596,
4000,9200.000,9.913,
4500,9619.238,9.396,
5000,9418.838,9.723,
5500,9600.000,9.458,
6000,10220.441,8.961,
6500,10400.000,8.519,
7000,10220.441,8.882,
7500,9819.639,9.449,
8000,9619.238,9.542,
8500,10000.000,9.020,
9000,10800.000,8.444,
9500,10220.441,8.882,
10000,9619.238,9.396,
10500,10600.000,8.623,
11000,10821.643,8.352,
11500,9819.639,9.122,
12000,10000.000,8.880,
12500,10420.842,8.577,crash_follower2
13000,10220.441,8.882,
13500,9800.000,9.122,
14000,9819.639,9.327,
14500,9600.000,9.312,
15000,10020.040,9.220,
15500,10200.000,8.902,
16000,10420.842,8.635,
16500,10400.000,8.635,post_crash
17000,9400.000,9.617,
17500,10420.842,8.692,
18000,10600.000,8.547,
18500,10600.000,8.453,
19000,10621.242,8.264,
19500,10821.643,8.333,
20000,10200.000,8.863,
20500,10420.842,8.615,
21000,11022.044,8.255,
21500,10000.000,9.020,
22000,10200.000,8.824,
22500,10220.441,8.882,
23000,9619.238,9.354,
23500,10420.842,8.808,
24000,10400.000,8.692,
24500,11422.846,7.842,
25000,10821.643,8.389,
25500,11422.846,7.895,
26000,10600.000,8.491,
26500,10621.242,8.491,
27000,10420.842,8.654,
27500,10220.441,9.020,
28000,9800.000,9.204,
28500,10400.000,8.596,
29000,10400.000,8.615,
29500,9819.639,9.143,
30000,10400.000,8.827,
30500,10400.000,8.654,
31000,10621.242,8.340,
31500,11200.000,8.089,
32000,10220.441,8.784,
32500,10600.000,8.491,
33000,10420.842,8.596,
33500,10400.000,8.769,
34000,10420.842,8.615,
34500,10821.643,8.481,
35000,10600.000,8.472,
35500,10220.441,8.882,
36000,10400.000,8.846,
36500,11222.445,7.893,
37000,10420.842,8.865,
37500,11200.000,8.054,
38000,11022.044,8.218,
38500,11600.000,7.586,
39000,11022.044,8.218,
39500,10000.000,9.120,
40000,11222.445,7.893,
40500,11400.000,7.702,
41000,11200.000,8.107,
41500,11022.044,8.200,
42000,10600.000,8.434,
42500,10420.842,8.692,
43000,10420.842,8.865,
43500,10200.000,8.608,
44000,10200.000,8.882,
44500,10020.040,9.040,
45000,10420.842,8.500,
45500,10400.000,8.654,
46000,10420.842,8.904,
46500,10621.242,8.566,
47000,10220.441,8.843,
47500,10000.000,9.140,
48000,10200.000,8.863,
48500,10821.643,8.500,
49000,10000.000,8.960,
49500,10220.441,8.961,
50000,10220.441,9.059,
50500,10800.000,8.426,
51000,10621.242,8.566,
51500,10400.000,8.692,
52000,10600.000,8.604,
52500,10821.643,8.352,
53000,11000.000,8.091,
53500,10621.242,8.679,
54000,10400.000,8.673,
54500,10420.842,8.654,
55000,10600.000,8.453,
55500,11022.044,8.327,
56000,11000.000,8.218,
56500,12625.251,7.159,
57000,10400.000,8.635,
57500,10600.000,8.623,
58000,10821.643,8.130,
58500,10821.643,8.407,
59000,11600.000,7.862,
59500,10600.000,8.472,
60000,10600.000,8.415,
60500,11200.000,8.036,
61000,10821.643,8.278,
61500,11000.000,7.982,
62000,10420.842,8.269,
62500,11623.246,7.931,
63000,10200.000,8.863,
63500,11800.000,7.644,
64000,10621.242,8.453,
64500,10400.000,8.731,
65000,10821.643,8.259,
65500,10800.000,8.370,
66000,10800.000,8.444,
66500,10600.000,8.528,
67000,10621.242,8.491,
67500,10020.040,9.080,
68000,10600.000,8.434,
68500,10400.000,8.846,
69000,10621.242,8.491,
69500,11200.000,8.036,
70000,10821.643,8.352,
70500,10400.000,8.558,
71000,10020.040,9.160,
71500,10621.242,8.491,
72000,11022.044,8.000,
72500,10400.000,8.519,
73000,11222.445,8.036,
73500,10600.000,8.566,
74000,10800.000,8.296,
74500,10200.000,8.765,
75000,10220.441,9.000,
75500,10200.000,8.882,
76000,10220.441,8.686,
76500,11022.044,8.255,
77000,10000.000,8.960,
77348,10344.828,8.611,
