elapsed_ms,tps,lat_avg_ms,event
500,10.000,258.800,
1000,20.040,334.000,
1500,10.020,331.200,delay_10ms
2000,20.000,325.800,
2500,10.000,329.800,
3000,20.040,316.900,
3500,12.000,323.167,
4000,18.036,332.778,
4500,14.000,315.571,
5000,16.000,308.375,
5500,18.000,323.889,
6000,12.024,316.333,
6500,20.000,333.900,
7000,10.000,311.600,
7500,20.040,310.200,
8000,12.024,322.333,
8500,18.000,307.556,
9000,18.000,322.444,
9500,12.024,324.500,
10000,20.000,324.100,
10500,10.020,305.800,
11000,20.040,325.000,
11500,10.020,314.200,
12000,20.000,330.800,
12500,14.000,305.571,
13000,16.032,318.875,
13500,18.036,320.778,
14000,12.024,313.667,
14500,20.000,330.100,
15000,10.000,322.400,
15500,20.040,331.200,
16000,10.000,319.800,
16500,20.040,322.400,
17000,12.000,328.000,
17500,18.000,324.222,
18000,14.028,312.286,
18500,16.000,310.250,
19000,18.036,329.556,
19500,12.024,329.833,
20000,20.000,323.100,
20500,10.020,319.600,
21000,20.000,317.800,
21500,10.000,323.600,
22000,20.040,326.400,
22500,14.000,324.571,
23000,16.000,327.625,
23500,16.000,320.125,
24000,14.028,310.286,
24500,20.000,316.800,
25000,10.000,310.200,
25500,20.040,302.100,
26000,14.028,327.000,
26500,16.000,336.750,
27000,14.000,328.143,
27500,16.032,323.000,
28000,16.000,329.875,
28500,14.000,324.857,
29000,18.000,316.556,
29500,12.000,336.333,
30000,20.040,324.100,
30500,10.020,313.600,
31000,20.000,329.200,
31500,10.020,333.600,
32000,20.000,326.800,
32500,10.000,316.000,
33000,20.040,326.400,
33500,16.032,337.500,
34000,118.000,47.119,
34500,248.000,19.653,
35000,264.000,18.061,
35500,250.000,19.432,
36000,236.473,20.458,
36500,220.441,22.009,
37000,228.000,21.088,
37500,232.000,20.828,
38000,234.469,20.812,
38500,280.561,17.229,
39000,454.910,10.282,
39350,725.714,5.976,
