elapsed_ms,tps,lat_avg_ms,event
500,254.000,18.402,
1000,268.000,18.022,
1500,258.517,18.527,calm_start
2000,282.565,17.149,calm_c0
2500,284.000,16.648,
3000,252.505,19.087,
3500,268.537,18.127,
4000,260.000,18.569,
4500,290.581,16.352,
5000,274.000,17.599,
5500,308.617,15.532,
6000,278.557,17.518,
6500,288.577,16.514,
7000,286.000,16.818,
7500,302.605,15.742,
8000,244.000,19.549,
8500,274.549,17.679,
9000,242.485,19.769,
9500,286.000,17.014,
10000,276.553,17.210,
10500,268.537,18.097,
11000,242.000,19.570,
11500,254.000,19.016,
12000,304.609,15.947,
12500,312.000,15.167,
13000,284.569,16.683,
13500,258.000,18.829,
14000,290.000,16.559,
14500,304.609,15.757,
15000,298.000,16.047,
15500,274.549,17.569,
16000,260.000,18.577,
16500,290.000,16.303,
17000,316.000,15.323,
17500,320.641,14.819,
18000,352.000,12.869,burst_c0
18500,16.000,259.250,
19000,30.060,173.133,
19500,30.060,174.000,
20000,30.000,172.267,
20500,26.052,173.846,
21000,30.000,172.467,
21500,28.056,172.929,
22000,28.000,173.643,
22500,28.056,173.071,
23000,30.060,173.800,
23500,30.000,172.267,
24000,30.000,172.933,
24500,26.000,172.615,
25000,30.060,173.533,
25500,28.056,172.500,
26000,28.056,174.286,
26500,28.056,173.071,
27000,30.000,173.467,
27500,30.000,172.933,
28000,30.060,173.000,
28500,26.000,173.385,
29000,40.080,135.750,calm_c1
29500,168.000,31.595,
30000,298.597,16.107,
30500,290.581,16.531,
31000,258.517,18.767,
31500,300.000,15.920,
32000,270.541,17.637,
32500,306.613,15.745,
33000,274.000,17.533,
33500,264.000,18.205,
34000,310.621,15.426,
34500,326.653,14.650,
35000,392.000,12.056,
35500,246.000,19.350,
36000,258.517,18.822,
36500,296.593,16.149,
37000,254.000,18.890,
37500,286.573,16.860,
38000,272.000,17.618,
38500,282.000,17.043,
39000,260.000,18.269,
39500,240.000,20.150,
40000,252.000,19.198,
40500,254.509,18.913,
41000,252.505,19.016,
41500,234.000,20.744,
42000,270.541,17.585,
42500,266.000,18.143,
43000,258.517,18.636,
43500,270.541,17.763,
44000,276.000,17.522,
44500,248.497,19.387,
45000,298.597,16.067,burst_c1
45500,114.000,35.281,
46000,30.000,172.200,
46500,28.056,173.286,
47000,30.000,172.200,
47500,26.052,174.538,
48000,30.060,171.067,
48500,30.000,171.400,
49000,30.060,171.933,
49500,28.000,172.429,
50000,28.000,173.071,
50500,30.060,172.467,
51000,28.000,173.286,
51500,28.056,173.643,
52000,28.056,172.929,
52500,30.060,172.200,
53000,30.000,173.533,
53500,28.056,174.286,
54000,28.000,173.714,
54500,30.060,171.800,
55000,28.000,173.643,
55500,28.000,173.000,
56000,30.060,172.667,post_burst
56500,50.000,102.320,
57000,158.317,34.582,
57500,264.000,18.114,
57915,279.518,15.810,
