system,size,experiment,filename,throughput,avg_latency,p50,p95,p99,conflict
cabinet,3,ratio_0,merged_cabinet_servers_20260806_001934.csv,686.4,1.337,1.4,1.8,2.0,23326.0
cabinet,3,ratio_10,merged_cabinet_servers_20260806_001828.csv,686.8,1.328,1.3,1.8,2.0,21010.0
cabinet,3,ratio_100,merged_cabinet_servers_20260806_001153.csv,666.7,1.39,1.4,1.8,2.0,0.0
cabinet,3,ratio_20,merged_cabinet_servers_20260806_001723.csv,696.3,1.294,1.3,1.8,2.0,18941.0
cabinet,3,ratio_40,merged_cabinet_servers_20260806_001617.csv,674.3,1.354,1.4,1.8,2.0,13765.0
cabinet,3,ratio_60,merged_cabinet_servers_20260806_001511.csv,687.3,1.336,1.3,1.8,2.0,9278.0
cabinet,3,ratio_80,merged_cabinet_servers_20260806_001405.csv,711.1,1.269,1.3,1.7,2.0,4833.0
cabinet,3,ratio_90,merged_cabinet_servers_20260806_001259.csv,695.8,1.306,1.3,1.8,2.0,2327.0
cabinet,5,ratio_0,merged_cabinet_servers_20260806_002836.csv,744.4,1.2,1.2,1.7,1.9,25715.0
cabinet,5,ratio_10,merged_cabinet_servers_20260806_002729.csv,793.9,1.093,1.1,1.6,1.9,24828.0
cabinet,5,ratio_100,merged_cabinet_servers_20260806_002043.csv,796.7,1.109,1.1,1.7,1.9,0.0
cabinet,5,ratio_20,merged_cabinet_servers_20260806_002621.csv,705.5,1.232,1.2,1.8,2.0,19493.0
cabinet,5,ratio_40,merged_cabinet_servers_20260806_002513.csv,726.8,1.219,1.2,1.7,2.0,15013.0
cabinet,5,ratio_60,merged_cabinet_servers_20260806_002405.csv,770.6,1.113,1.1,1.7,1.9,10635.0
cabinet,5,ratio_80,merged_cabinet_servers_20260806_002258.csv,736.7,1.19,1.2,1.7,1.9,5090.0
cabinet,5,ratio_90,merged_cabinet_servers_20260806_002150.csv,739.9,1.194,1.2,1.7,1.9,2582.0
cabinet,7,ratio_0,merged_cabinet_servers_20260806_003756.csv,833.9,1.019,1.0,1.6,1.8,28613.0
cabinet,7,ratio_10,merged_cabinet_servers_20260806_003647.csv,863.3,0.978,1.0,1.5,1.8,26988.0
cabinet,7,ratio_100,merged_cabinet_servers_20260806_002947.csv,864.4,0.969,1.0,1.5,1.7,0.0
cabinet,7,ratio_20,merged_cabinet_servers_20260806_003537.csv,805.1,1.072,1.1,1.6,1.9,22422.0
cabinet,7,ratio_40,merged_cabinet_servers_20260806_003427.csv,834.9,1.036,1.0,1.6,1.8,17527.0
cabinet,7,ratio_60,merged_cabinet_servers_20260806_003317.csv,767.5,1.146,1.1,1.7,1.9,10576.0
cabinet,7,ratio_80,merged_cabinet_servers_20260806_003207.csv,858.8,0.986,1.0,1.5,1.8,6030.0
cabinet,7,ratio_90,merged_cabinet_servers_20260806_003057.csv,828.3,1.036,1.0,1.6,1.8,2795.0
cabinet,11,ratio_0,merged_cabinet_servers_20260806_004742.csv,983.5,0.809,0.8,1.3,1.6,33851.0
cabinet,11,ratio_10,merged_cabinet_servers_20260806_004629.csv,935.6,0.847,0.8,1.3,1.6,29030.0
cabinet,11,ratio_100,merged_cabinet_servers_20260806_003910.csv,971.1,0.828,0.8,1.3,1.6,0.0
cabinet,11,ratio_20,merged_cabinet_servers_20260806_004517.csv,978.0,0.807,0.8,1.3,1.6,27108.0
cabinet,11,ratio_40,merged_cabinet_servers_20260806_004403.csv,983.7,0.8,0.8,1.3,1.6,20627.0
cabinet,11,ratio_60,merged_cabinet_servers_20260806_004250.csv,1001.3,0.77,0.7,1.3,1.6,13879.0
cabinet,11,ratio_80,merged_cabinet_servers_20260806_004137.csv,962.1,0.824,0.8,1.3,1.6,6778.0
cabinet,11,ratio_90,merged_cabinet_servers_20260806_004023.csv,935.8,0.858,0.9,1.3,1.6,3225.0
