system,size,experiment,filename,throughput,avg_latency,p50,p95,p99,conflict
cabinet,3,ratio_0,merged_cabinet_clients_20260806_183926.csv,700.0,4.16,4.2,5.4,6.3,22981.0
cabinet,3,ratio_10,merged_cabinet_clients_20260806_183820.csv,719.0,4.058,4.0,5.3,6.2,21279.0
cabinet,3,ratio_100,merged_cabinet_clients_20260806_183146.csv,691.4,4.222,4.2,5.3,6.2,0.0
cabinet,3,ratio_20,merged_cabinet_clients_20260806_183715.csv,718.2,4.063,4.1,5.3,6.2,18926.0
cabinet,3,ratio_40,merged_cabinet_clients_20260806_183609.csv,718.8,4.059,4.1,5.3,6.2,14108.0
cabinet,3,ratio_60,merged_cabinet_clients_20260806_183503.csv,721.3,4.033,4.1,5.2,6.1,9435.0
cabinet,3,ratio_80,merged_cabinet_clients_20260806_183357.csv,725.5,4.011,4.0,5.2,6.1,4830.0
cabinet,3,ratio_90,merged_cabinet_clients_20260806_183251.csv,729.3,4.001,4.0,5.2,6.2,2373.0
cabinet,5,ratio_0,merged_cabinet_clients_20260806_184826.csv,778.3,3.739,3.7,5.0,5.8,25760.0
cabinet,5,ratio_10,merged_cabinet_clients_20260806_184719.csv,767.3,3.787,3.8,5.1,5.9,22841.0
cabinet,5,ratio_100,merged_cabinet_clients_20260806_184034.csv,738.2,3.944,4.0,5.2,6.1,0.0
cabinet,5,ratio_20,merged_cabinet_clients_20260806_184610.csv,769.6,3.79,3.8,5.2,6.0,20383.0
cabinet,5,ratio_40,merged_cabinet_clients_20260806_184503.csv,761.9,3.825,3.8,5.1,6.1,15202.0
cabinet,5,ratio_60,merged_cabinet_clients_20260806_184356.csv,783.2,3.72,3.7,5.1,5.9,10351.0
cabinet,5,ratio_80,merged_cabinet_clients_20260806_184249.csv,805.5,3.607,3.6,5.0,5.9,5306.0
cabinet,5,ratio_90,merged_cabinet_clients_20260806_184141.csv,754.3,3.858,3.8,5.1,6.0,2516.0
cabinet,7,ratio_0,merged_cabinet_clients_20260806_185744.csv,882.1,3.293,3.3,4.7,5.6,29225.0
cabinet,7,ratio_10,merged_cabinet_clients_20260806_185634.csv,879.9,3.297,3.3,4.6,5.5,26286.0
cabinet,7,ratio_100,merged_cabinet_clients_20260806_184936.csv,856.3,3.393,3.4,4.7,5.5,0.0
cabinet,7,ratio_20,merged_cabinet_clients_20260806_185524.csv,918.7,3.151,3.1,4.6,5.4,24341.0
cabinet,7,ratio_40,merged_cabinet_clients_20260806_185414.csv,894.8,3.242,3.2,4.6,5.3,17773.0
cabinet,7,ratio_60,merged_cabinet_clients_20260806_185305.csv,876.3,3.303,3.3,4.7,5.4,11683.0
cabinet,7,ratio_80,merged_cabinet_clients_20260806_185155.csv,924.0,3.131,3.1,4.5,5.3,6133.0
cabinet,7,ratio_90,merged_cabinet_clients_20260806_185046.csv,846.5,3.43,3.4,4.9,5.7,2813.0
cabinet,11,ratio_0,merged_cabinet_clients_20260806_190729.csv,1047.3,2.763,2.7,4.1,5.0,34684.0
cabinet,11,ratio_10,merged_cabinet_clients_20260806_190616.csv,1091.6,2.637,2.6,4.0,4.9,32499.0
cabinet,11,ratio_100,merged_cabinet_clients_20260806_185858.csv,1006.5,2.872,2.8,4.2,5.1,0.0
cabinet,11,ratio_20,merged_cabinet_clients_20260806_190503.csv,1051.9,2.74,2.7,4.1,4.9,27790.0
cabinet,11,ratio_40,merged_cabinet_clients_20260806_190350.csv,1019.8,2.829,2.8,4.2,5.1,20314.0
cabinet,11,ratio_60,merged_cabinet_clients_20260806_190237.csv,1033.1,2.795,2.8,4.1,4.9,13683.0
cabinet,11,ratio_80,merged_cabinet_clients_20260806_190124.csv,1041.5,2.766,2.7,4.1,5.0,6809.0
cabinet,11,ratio_90,merged_cabinet_clients_20260806_190011.csv,1070.1,2.699,2.6,4.0,4.9,3498.0
