system,size,experiment,filename,throughput,avg_latency,p50,p95,p99,conflict
raft,3,ratio_0,merged_cabinet_clients_20260806_005643.csv,586.4,4.912,4.9,6.2,7.8,19238.0
raft,3,ratio_10,merged_cabinet_clients_20260806_005537.csv,618.6,4.659,4.7,6.0,7.3,18309.0
raft,3,ratio_100,merged_cabinet_clients_20260806_004902.csv,600.2,4.799,4.7,6.1,7.7,0.0
raft,3,ratio_20,merged_cabinet_clients_20260806_005431.csv,613.2,4.698,4.7,6.0,7.3,16121.0
raft,3,ratio_40,merged_cabinet_clients_20260806_005326.csv,614.9,4.674,4.7,6.0,7.4,12019.0
raft,3,ratio_60,merged_cabinet_clients_20260806_005220.csv,600.1,4.789,4.8,6.0,7.4,7937.0
raft,3,ratio_80,merged_cabinet_clients_20260806_005114.csv,619.7,4.632,4.7,6.1,7.5,4077.0
raft,3,ratio_90,merged_cabinet_clients_20260806_005008.csv,677.4,4.232,4.2,5.8,7.2,2247.0
raft,5,ratio_0,merged_cabinet_clients_20260806_010547.csv,463.4,6.259,6.2,8.5,10.1,15300.0
raft,5,ratio_10,merged_cabinet_clients_20260806_010440.csv,457.1,6.357,6.3,8.6,10.2,13620.0
raft,5,ratio_100,merged_cabinet_clients_20260806_005751.csv,434.5,6.689,6.5,8.8,10.6,0.0
raft,5,ratio_20,merged_cabinet_clients_20260806_010332.csv,452.5,6.423,6.4,8.7,10.7,12047.0
raft,5,ratio_40,merged_cabinet_clients_20260806_010224.csv,482.9,5.998,5.9,8.0,9.6,9625.0
raft,5,ratio_60,merged_cabinet_clients_20260806_010116.csv,455.3,6.382,6.3,8.6,10.4,6013.0
raft,5,ratio_80,merged_cabinet_clients_20260806_010007.csv,503.0,5.753,5.6,7.7,9.6,3330.0
raft,5,ratio_90,merged_cabinet_clients_20260806_005859.csv,487.3,5.949,5.9,7.9,9.9,1608.0
raft,7,ratio_0,merged_cabinet_clients_20260806_011505.csv,387.1,7.506,7.5,10.0,11.9,12854.0
raft,7,ratio_10,merged_cabinet_clients_20260806_011355.csv,389.7,7.466,7.4,10.1,11.9,11642.0
raft,7,ratio_100,merged_cabinet_clients_20260806_010658.csv,414.6,7.017,6.9,9.5,11.5,0.0
raft,7,ratio_20,merged_cabinet_clients_20260806_011246.csv,410.5,7.088,7.1,9.6,11.7,10870.0
raft,7,ratio_40,merged_cabinet_clients_20260806_011137.csv,411.9,7.055,7.0,9.6,11.6,8163.0
raft,7,ratio_60,merged_cabinet_clients_20260806_011027.csv,392.0,7.426,7.4,9.9,11.8,5130.0
raft,7,ratio_80,merged_cabinet_clients_20260806_010918.csv,407.9,7.137,7.1,9.7,11.3,2769.0
raft,7,ratio_90,merged_cabinet_clients_20260806_010808.csv,434.8,6.675,6.6,9.1,11.1,1457.0
raft,11,ratio_0,merged_cabinet_clients_20260806_012447.csv,347.3,8.405,8.2,12.2,13.7,11517.0
raft,11,ratio_10,merged_cabinet_clients_20260806_012335.csv,369.3,7.906,7.7,11.4,12.9,11041.0
raft,11,ratio_100,merged_cabinet_clients_20260806_011618.csv,352.5,8.273,8.0,12.0,13.4,0.0
raft,11,ratio_20,merged_cabinet_clients_20260806_012221.csv,352.5,8.258,8.0,12.0,13.4,9404.0
raft,11,ratio_40,merged_cabinet_clients_20260806_012109.csv,362.7,8.05,7.7,12.0,13.5,7316.0
raft,11,ratio_60,merged_cabinet_clients_20260806_011956.csv,366.0,7.967,7.7,11.7,13.2,4881.0
raft,11,ratio_80,merged_cabinet_clients_20260806_011843.csv,354.7,8.224,8.0,12.1,13.5,2327.0
raft,11,ratio_90,merged_cabinet_clients_20260806_011731.csv,364.6,7.989,7.7,11.8,13.3,1237.0
