system,size,experiment,filename,throughput,avg_latency,p50,p95,p99,conflict
raft,3,ratio_0,merged_cabinet_servers_20260807_012900.csv,681.7,1.396,1.4,2.1,2.7,25390.0
raft,3,ratio_10,merged_cabinet_servers_20260807_012752.csv,676.8,1.409,1.4,2.1,2.8,22582.0
raft,3,ratio_100,merged_cabinet_servers_20260807_012100.csv,662.2,1.431,1.4,2.1,2.7,0.0
raft,3,ratio_20,merged_cabinet_servers_20260807_012643.csv,649.9,1.458,1.4,2.1,2.7,19366.0
raft,3,ratio_40,merged_cabinet_servers_20260807_012534.csv,629.2,1.512,1.5,2.1,2.7,13972.0
raft,3,ratio_60,merged_cabinet_servers_20260807_012426.csv,636.9,1.492,1.5,2.1,2.7,9572.0
raft,3,ratio_80,merged_cabinet_servers_20260807_012317.csv,647.9,1.458,1.4,2.1,2.7,4771.0
raft,3,ratio_90,merged_cabinet_servers_20260807_012208.csv,627.9,1.511,1.5,2.1,2.6,2409.0
raft,5,ratio_0,merged_cabinet_servers_20260807_013824.csv,455.1,2.111,2.0,3.0,4.2,16828.0
raft,5,ratio_10,merged_cabinet_servers_20260807_013714.csv,476.3,2.011,2.0,2.9,4.3,15959.0
raft,5,ratio_100,merged_cabinet_servers_20260807_013011.csv,488.6,1.968,1.9,2.8,4.2,0.0
raft,5,ratio_20,merged_cabinet_servers_20260807_013604.csv,495.1,1.938,1.9,2.8,3.9,14662.0
raft,5,ratio_40,merged_cabinet_servers_20260807_013453.csv,454.6,2.11,2.0,3.0,4.4,10133.0
raft,5,ratio_60,merged_cabinet_servers_20260807_013343.csv,477.9,2.014,2.0,2.9,4.1,7135.0
raft,5,ratio_80,merged_cabinet_servers_20260807_013232.csv,456.2,2.111,2.0,3.0,4.2,3439.0
raft,5,ratio_90,merged_cabinet_servers_20260807_013122.csv,482.5,1.988,1.9,2.9,3.9,1742.0
raft,7,ratio_0,merged_cabinet_servers_20260807_014803.csv,413.3,2.325,2.2,3.3,5.4,15371.0
raft,7,ratio_10,merged_cabinet_servers_20260807_014651.csv,413.4,2.334,2.2,3.2,5.3,13789.0
raft,7,ratio_100,merged_cabinet_servers_20260807_013937.csv,404.1,2.385,2.3,3.2,5.4,0.0
raft,7,ratio_20,merged_cabinet_servers_20260807_014539.csv,425.2,2.268,2.2,3.2,5.3,12579.0
raft,7,ratio_40,merged_cabinet_servers_20260807_014427.csv,413.8,2.338,2.2,3.2,5.5,9225.0
raft,7,ratio_60,merged_cabinet_servers_20260807_014315.csv,415.5,2.317,2.2,3.2,5.3,6300.0
raft,7,ratio_80,merged_cabinet_servers_20260807_014202.csv,400.0,2.417,2.3,3.3,5.5,3030.0
raft,7,ratio_90,merged_cabinet_servers_20260807_014050.csv,385.5,2.504,2.4,3.4,5.4,1393.0
raft,11,ratio_0,merged_cabinet_servers_20260807_015814.csv,351.0,2.747,2.6,4.8,6.7,13033.0
raft,11,ratio_10,merged_cabinet_servers_20260807_015658.csv,340.8,2.817,2.6,4.9,6.9,11365.0
raft,11,ratio_100,merged_cabinet_servers_20260807_014920.csv,344.4,2.791,2.6,5.0,6.7,0.0
raft,11,ratio_20,merged_cabinet_servers_20260807_015541.csv,339.8,2.83,2.6,4.9,6.8,10037.0
raft,11,ratio_40,merged_cabinet_servers_20260807_015425.csv,336.2,2.862,2.7,4.7,6.8,7576.0
raft,11,ratio_60,merged_cabinet_servers_20260807_015308.csv,341.7,2.795,2.6,4.8,6.7,5242.0
raft,11,ratio_80,merged_cabinet_servers_20260807_015152.csv,351.5,2.736,2.5,4.8,6.7,2622.0
raft,11,ratio_90,merged_cabinet_servers_20260807_015036.csv,347.5,2.763,2.6,4.8,6.6,1295.0
