system,size,experiment,filename,throughput,avg_latency,p50,p95,p99,conflict
cabinet,3,ratio_0,merged_cabinet_clients_20260715_004244.csv,1353.1,7.223,7.2,11.2,13.3,0.0
cabinet,3,ratio_10,merged_cabinet_clients_20260715_004129.csv,1423.0,6.855,6.8,10.6,13.1,0.0
cabinet,3,ratio_100,merged_cabinet_clients_20260715_003356.csv,1472.5,6.635,6.6,10.3,12.4,0.0
cabinet,3,ratio_20,merged_cabinet_clients_20260715_004013.csv,1425.8,6.845,6.8,10.6,12.6,0.0
cabinet,3,ratio_40,merged_cabinet_clients_20260715_003858.csv,1457.3,6.699,6.7,10.3,12.2,0.0
cabinet,3,ratio_60,merged_cabinet_clients_20260715_003742.csv,1434.3,6.8,6.8,10.7,12.8,0.0
cabinet,3,ratio_80,merged_cabinet_clients_20260715_003627.csv,1457.0,6.687,6.7,10.3,12.2,0.0
cabinet,3,ratio_90,merged_cabinet_clients_20260715_003511.csv,1446.6,6.741,6.7,10.6,12.6,0.0
cabinet,5,ratio_0,merged_cabinet_clients_20260715_005300.csv,1644.7,5.921,5.9,9.0,11.4,0.0
cabinet,5,ratio_10,merged_cabinet_clients_20260715_005142.csv,1683.3,5.78,5.8,8.7,10.6,0.0
cabinet,5,ratio_100,merged_cabinet_clients_20260715_004401.csv,1657.1,5.885,5.8,8.9,11.0,0.0
cabinet,5,ratio_20,merged_cabinet_clients_20260715_005026.csv,1649.2,5.907,5.9,8.9,11.0,0.0
cabinet,5,ratio_40,merged_cabinet_clients_20260715_004909.csv,1617.7,6.011,6.0,9.3,11.8,0.0
cabinet,5,ratio_60,merged_cabinet_clients_20260715_004751.csv,1609.2,6.055,6.0,9.2,11.3,0.0
cabinet,5,ratio_80,merged_cabinet_clients_20260715_004634.csv,1685.6,5.775,5.7,8.9,11.1,0.0
cabinet,5,ratio_90,merged_cabinet_clients_20260715_004518.csv,1596.9,6.108,6.1,9.2,11.2,0.0
cabinet,7,ratio_0,merged_cabinet_clients_20260715_010332.csv,1683.9,5.777,5.8,8.5,10.5,0.0
cabinet,7,ratio_10,merged_cabinet_clients_20260715_010213.csv,1719.9,5.644,5.6,8.3,10.3,0.0
cabinet,7,ratio_100,merged_cabinet_clients_20260715_005420.csv,1653.0,5.893,5.9,8.8,10.8,0.0
cabinet,7,ratio_20,merged_cabinet_clients_20260715_010054.csv,1671.4,5.816,5.8,8.6,10.8,0.0
cabinet,7,ratio_40,merged_cabinet_clients_20260715_005936.csv,1691.8,5.758,5.7,8.4,10.5,0.0
cabinet,7,ratio_60,merged_cabinet_clients_20260715_005817.csv,1713.6,5.678,5.7,8.5,10.3,0.0
cabinet,7,ratio_80,merged_cabinet_clients_20260715_005658.csv,1680.2,5.795,5.8,8.7,10.8,0.0
cabinet,7,ratio_90,merged_cabinet_clients_20260715_005539.csv,1670.6,5.825,5.8,8.6,10.6,0.0
cabinet,11,ratio_0,merged_cabinet_clients_20260715_011431.csv,1998.5,4.864,4.8,6.9,8.6,0.0
cabinet,11,ratio_10,merged_cabinet_clients_20260715_011308.csv,1812.3,5.362,5.4,7.5,9.7,0.0
cabinet,11,ratio_100,merged_cabinet_clients_20260715_010456.csv,1882.5,5.164,5.2,7.3,9.5,0.0
cabinet,11,ratio_20,merged_cabinet_clients_20260715_011146.csv,1902.5,5.105,5.2,7.2,9.6,0.0
cabinet,11,ratio_40,merged_cabinet_clients_20260715_011024.csv,1930.5,5.036,5.0,7.1,9.1,0.0
cabinet,11,ratio_60,merged_cabinet_clients_20260715_010902.csv,1765.3,5.518,5.6,7.7,9.7,0.0
cabinet,11,ratio_80,merged_cabinet_clients_20260715_010740.csv,1790.2,5.442,5.5,7.7,9.7,0.0
cabinet,11,ratio_90,merged_cabinet_clients_20260715_010618.csv,1794.9,5.42,5.5,7.5,9.8,0.0
