system,size,experiment,filename,throughput,avg_latency,p50,p95,p99,conflict
cabinet,3,ratio_0,merged_cabinet_servers_20260715_004244.csv,1176.9,0.797,0.7,1.4,1.8,0.0
cabinet,3,ratio_10,merged_cabinet_servers_20260715_004129.csv,1233.9,0.76,0.7,1.3,1.7,0.0
cabinet,3,ratio_100,merged_cabinet_servers_20260715_003356.csv,1274.3,0.736,0.7,1.3,1.7,0.0
cabinet,3,ratio_20,merged_cabinet_servers_20260715_004013.csv,1235.4,0.757,0.7,1.3,1.7,0.0
cabinet,3,ratio_40,merged_cabinet_servers_20260715_003858.csv,1267.4,0.741,0.7,1.3,1.7,0.0
cabinet,3,ratio_60,merged_cabinet_servers_20260715_003742.csv,1246.9,0.756,0.7,1.4,1.7,0.0
cabinet,3,ratio_80,merged_cabinet_servers_20260715_003627.csv,1263.7,0.742,0.7,1.3,1.6,0.0
cabinet,3,ratio_90,merged_cabinet_servers_20260715_003511.csv,1255.8,0.747,0.7,1.3,1.7,0.0
cabinet,5,ratio_0,merged_cabinet_servers_20260715_005300.csv,1424.8,0.65,0.6,1.1,1.5,0.0
cabinet,5,ratio_10,merged_cabinet_servers_20260715_005143.csv,1464.9,0.636,0.6,1.1,1.5,0.0
cabinet,5,ratio_100,merged_cabinet_servers_20260715_004401.csv,1437.7,0.646,0.6,1.2,1.5,0.0
cabinet,5,ratio_20,merged_cabinet_servers_20260715_005026.csv,1427.5,0.65,0.6,1.1,1.5,0.0
cabinet,5,ratio_40,merged_cabinet_servers_20260715_004909.csv,1395.6,0.666,0.6,1.2,1.6,0.0
cabinet,5,ratio_60,merged_cabinet_servers_20260715_004751.csv,1398.4,0.666,0.6,1.2,1.5,0.0
cabinet,5,ratio_80,merged_cabinet_servers_20260715_004635.csv,1467.5,0.636,0.6,1.1,1.5,0.0
cabinet,5,ratio_90,merged_cabinet_servers_20260715_004518.csv,1388.8,0.67,0.6,1.2,1.5,0.0
cabinet,7,ratio_0,merged_cabinet_servers_20260715_010332.csv,1460.0,0.636,0.6,1.1,1.4,0.0
cabinet,7,ratio_10,merged_cabinet_servers_20260715_010213.csv,1488.7,0.623,0.5,1.1,1.4,0.0
cabinet,7,ratio_100,merged_cabinet_servers_20260715_005420.csv,1431.3,0.646,0.6,1.1,1.5,0.0
cabinet,7,ratio_20,merged_cabinet_servers_20260715_010054.csv,1453.0,0.639,0.6,1.1,1.4,0.0
cabinet,7,ratio_40,merged_cabinet_servers_20260715_005936.csv,1468.0,0.63,0.6,1.1,1.5,0.0
cabinet,7,ratio_60,merged_cabinet_servers_20260715_005817.csv,1489.7,0.624,0.5,1.1,1.4,0.0
cabinet,7,ratio_80,merged_cabinet_servers_20260715_005658.csv,1455.6,0.637,0.6,1.1,1.4,0.0
cabinet,7,ratio_90,merged_cabinet_servers_20260715_005539.csv,1448.6,0.64,0.6,1.1,1.4,0.0
cabinet,11,ratio_0,merged_cabinet_servers_20260715_011431.csv,1732.4,0.525,0.5,0.9,1.2,0.0
cabinet,11,ratio_10,merged_cabinet_servers_20260715_011309.csv,1568.0,0.576,0.5,0.9,1.3,0.0
cabinet,11,ratio_100,merged_cabinet_servers_20260715_010456.csv,1636.1,0.554,0.5,0.9,1.3,0.0
cabinet,11,ratio_20,merged_cabinet_servers_20260715_011146.csv,1646.8,0.55,0.5,0.9,1.2,0.0
cabinet,11,ratio_40,merged_cabinet_servers_20260715_011024.csv,1668.5,0.543,0.5,0.9,1.3,0.0
cabinet,11,ratio_60,merged_cabinet_servers_20260715_010902.csv,1529.1,0.592,0.5,1.0,1.3,0.0
cabinet,11,ratio_80,merged_cabinet_servers_20260715_010740.csv,1555.7,0.583,0.5,1.0,1.3,0.0
cabinet,11,ratio_90,merged_cabinet_servers_20260715_010618.csv,1551.1,0.582,0.5,1.0,1.3,0.0
