system,size,experiment,filename,throughput,avg_latency,p50,p95,p99,conflict
raft,3,ratio_0,merged_cabinet_clients_20260715_012436.csv,978.7,9.907,10.1,15.1,17.4,0.0
raft,3,ratio_10,merged_cabinet_clients_20260715_012320.csv,972.4,9.984,10.1,15.1,17.7,0.0
raft,3,ratio_100,merged_cabinet_clients_20260715_011546.csv,949.5,10.235,10.4,15.4,17.8,0.0
raft,3,ratio_20,merged_cabinet_clients_20260715_012204.csv,980.1,9.895,10.0,15.0,17.7,0.0
raft,3,ratio_40,merged_cabinet_clients_20260715_012049.csv,998.9,9.721,9.7,14.8,17.4,0.0
raft,3,ratio_60,merged_cabinet_clients_20260715_011934.csv,956.1,10.172,10.3,15.3,17.7,0.0
raft,3,ratio_80,merged_cabinet_clients_20260715_011818.csv,957.2,10.151,10.3,15.6,18.4,0.0
raft,3,ratio_90,merged_cabinet_clients_20260715_011702.csv,983.0,9.875,10.0,15.0,17.5,0.0
raft,5,ratio_0,merged_cabinet_clients_20260715_013450.csv,890.9,10.911,11.1,16.6,18.8,0.0
raft,5,ratio_10,merged_cabinet_clients_20260715_013334.csv,857.4,11.357,11.4,17.1,19.4,0.0
raft,5,ratio_100,merged_cabinet_clients_20260715_012553.csv,842.8,11.552,11.7,17.0,19.2,0.0
raft,5,ratio_20,merged_cabinet_clients_20260715_013217.csv,880.3,11.036,11.2,16.8,19.1,0.0
raft,5,ratio_40,merged_cabinet_clients_20260715_013100.csv,878.4,11.072,11.2,16.7,19.2,0.0
raft,5,ratio_60,merged_cabinet_clients_20260715_012943.csv,872.0,11.153,11.4,16.9,19.4,0.0
raft,5,ratio_80,merged_cabinet_clients_20260715_012826.csv,880.0,11.05,11.2,16.9,19.0,0.0
raft,5,ratio_90,merged_cabinet_clients_20260715_012709.csv,868.5,11.186,11.4,17.0,19.3,0.0
raft,7,ratio_0,merged_cabinet_clients_20260715_014518.csv,652.2,14.971,15.3,21.8,24.3,0.0
raft,7,ratio_10,merged_cabinet_clients_20260715_014400.csv,671.5,14.509,14.9,21.7,24.8,0.0
raft,7,ratio_100,merged_cabinet_clients_20260715_013610.csv,721.6,13.504,13.9,20.2,22.6,0.0
raft,7,ratio_20,merged_cabinet_clients_20260715_014242.csv,728.8,13.371,13.6,19.9,22.6,0.0
raft,7,ratio_40,merged_cabinet_clients_20260715_014123.csv,625.9,15.606,16.2,22.6,25.2,0.0
raft,7,ratio_60,merged_cabinet_clients_20260715_014005.csv,628.8,15.544,16.0,22.3,25.3,0.0
raft,7,ratio_80,merged_cabinet_clients_20260715_013847.csv,725.5,13.426,13.9,20.0,22.5,0.0
raft,7,ratio_90,merged_cabinet_clients_20260715_013729.csv,734.0,13.271,13.8,20.0,22.5,0.0
raft,11,ratio_0,merged_cabinet_clients_20260715_015614.csv,488.8,20.019,21.2,27.0,28.9,0.0
raft,11,ratio_10,merged_cabinet_clients_20260715_015452.csv,479.8,20.395,21.6,27.5,29.5,0.0
raft,11,ratio_100,merged_cabinet_clients_20260715_014641.csv,476.0,20.556,21.7,28.1,30.2,0.0
raft,11,ratio_20,merged_cabinet_clients_20260715_015330.csv,497.4,19.673,20.6,27.2,29.3,0.0
raft,11,ratio_40,merged_cabinet_clients_20260715_015208.csv,483.8,20.248,21.3,27.4,29.8,0.0
raft,11,ratio_60,merged_cabinet_clients_20260715_015047.csv,479.1,20.445,21.6,27.6,29.3,0.0
raft,11,ratio_80,merged_cabinet_clients_20260715_014925.csv,493.9,19.851,20.6,26.8,29.0,0.0
raft,11,ratio_90,merged_cabinet_clients_20260715_014803.csv,484.3,20.189,21.5,27.3,29.5,0.0
