system,size,experiment,filename,throughput,avg_latency,p50,p95,p99,conflict
raft,3,ratio_0,merged_cabinet_servers_20260715_012436.csv,847.4,1.118,1.1,1.8,2.9,0.0
raft,3,ratio_10,merged_cabinet_servers_20260715_012320.csv,845.3,1.125,1.1,1.8,2.9,0.0
raft,3,ratio_100,merged_cabinet_servers_20260715_011547.csv,825.0,1.153,1.1,1.9,3.0,0.0
raft,3,ratio_20,merged_cabinet_servers_20260715_012205.csv,847.8,1.116,1.0,1.8,3.1,0.0
raft,3,ratio_40,merged_cabinet_servers_20260715_012049.csv,869.6,1.093,1.0,1.8,3.0,0.0
raft,3,ratio_60,merged_cabinet_servers_20260715_011934.csv,831.9,1.144,1.1,1.9,3.0,0.0
raft,3,ratio_80,merged_cabinet_servers_20260715_011818.csv,833.5,1.145,1.1,1.9,3.1,0.0
raft,3,ratio_90,merged_cabinet_servers_20260715_011702.csv,855.8,1.114,1.0,1.8,3.0,0.0
raft,5,ratio_0,merged_cabinet_servers_20260715_013450.csv,774.7,1.231,1.1,2.0,3.7,0.0
raft,5,ratio_10,merged_cabinet_servers_20260715_013334.csv,743.6,1.277,1.2,2.0,3.8,0.0
raft,5,ratio_100,merged_cabinet_servers_20260715_012553.csv,733.0,1.303,1.2,2.1,3.9,0.0
raft,5,ratio_20,merged_cabinet_servers_20260715_013217.csv,764.4,1.246,1.1,2.0,3.8,0.0
raft,5,ratio_40,merged_cabinet_servers_20260715_013100.csv,761.3,1.247,1.1,2.0,3.8,0.0
raft,5,ratio_60,merged_cabinet_servers_20260715_012943.csv,760.1,1.256,1.1,2.0,3.8,0.0
raft,5,ratio_80,merged_cabinet_servers_20260715_012826.csv,766.0,1.241,1.1,2.0,3.8,0.0
raft,5,ratio_90,merged_cabinet_servers_20260715_012709.csv,754.1,1.268,1.2,2.0,3.8,0.0
raft,7,ratio_0,merged_cabinet_servers_20260715_014518.csv,567.2,1.691,1.6,2.6,4.9,0.0
raft,7,ratio_10,merged_cabinet_servers_20260715_014400.csv,584.4,1.643,1.5,2.6,4.8,0.0
raft,7,ratio_100,merged_cabinet_servers_20260715_013610.csv,629.1,1.528,1.4,2.4,4.6,0.0
raft,7,ratio_20,merged_cabinet_servers_20260715_014242.csv,632.9,1.513,1.4,2.4,4.5,0.0
raft,7,ratio_40,merged_cabinet_servers_20260715_014123.csv,546.6,1.763,1.7,2.6,5.0,0.0
raft,7,ratio_60,merged_cabinet_servers_20260715_014005.csv,547.7,1.756,1.7,2.6,4.9,0.0
raft,7,ratio_80,merged_cabinet_servers_20260715_013847.csv,633.0,1.52,1.4,2.4,4.4,0.0
raft,7,ratio_90,merged_cabinet_servers_20260715_013729.csv,638.6,1.499,1.4,2.4,4.4,0.0
raft,11,ratio_0,merged_cabinet_servers_20260715_015614.csv,424.3,2.25,2.0,4.8,6.5,0.0
raft,11,ratio_10,merged_cabinet_servers_20260715_015452.csv,416.7,2.291,2.0,4.8,6.7,0.0
raft,11,ratio_100,merged_cabinet_servers_20260715_014641.csv,414.0,2.307,2.0,4.8,6.6,0.0
raft,11,ratio_20,merged_cabinet_servers_20260715_015330.csv,431.7,2.211,2.0,4.5,6.5,0.0
raft,11,ratio_40,merged_cabinet_servers_20260715_015208.csv,422.0,2.269,2.0,4.8,6.5,0.0
raft,11,ratio_60,merged_cabinet_servers_20260715_015047.csv,417.9,2.297,2.0,4.8,6.7,0.0
raft,11,ratio_80,merged_cabinet_servers_20260715_014925.csv,430.6,2.219,2.0,4.5,6.5,0.0
raft,11,ratio_90,merged_cabinet_servers_20260715_014803.csv,418.9,2.282,2.0,5.0,6.7,0.0
